# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
7.429950000e-04 1.157200000e+07 8.658600000e+01 1.304000000e+17 3.151810000e-08 1.203410000e+12 1.251480000e+03 4.128740000e+04 3.031130000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645740000e-01 6.021690000e-02 3.264200000e-11 6.288700000e-11 9.552910000e-11 9.773900000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464730000e-01 3.363740000e-06
8.177720000e-04 1.157200000e+07 8.658600000e+01 1.304000000e+17 4.202410000e-08 1.093370000e+12 1.377430000e+03 4.128740000e+04 3.336190000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645740000e-01 6.208090000e-02 3.954340000e-11 7.854020000e-11 1.180840000e-10 1.086660000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464730000e-01 3.363740000e-06
8.809190000e-04 1.157200000e+07 8.658500000e+01 1.304000000e+17 5.253010000e-08 1.014990000e+12 1.483790000e+03 4.128740000e+04 3.593800000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645740000e-01 5.949500000e-02 4.588640000e-11 8.734160000e-11 1.332280000e-10 1.154240000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464720000e-01 3.363740000e-06
9.361170000e-04 1.157200000e+07 8.658500000e+01 1.304000000e+17 6.303610000e-08 9.551440000e+11 1.576760000e+03 4.128740000e+04 3.818970000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645730000e-01 6.029930000e-02 5.181740000e-11 9.996310000e-11 1.517800000e-10 1.231990000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464720000e-01 3.363730000e-06
1.030331000e-03 1.157200000e+07 8.658500000e+01 1.304000000e+17 8.404820000e-08 8.678060000e+11 1.735440000e+03 4.128740000e+04 4.203320000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645730000e-01 6.212350000e-02 6.277330000e-11 1.247600000e-10 1.875330000e-10 1.369430000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464710000e-01 3.363730000e-06
1.109891000e-03 1.157200000e+07 8.658400000e+01 1.304000000e+17 1.050602000e-07 8.056000000e+11 1.869440000e+03 4.128740000e+04 4.527880000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645720000e-01 5.950960000e-02 7.284290000e-11 1.386790000e-10 2.115220000e-10 1.454380000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464710000e-01 3.363730000e-06
1.179437000e-03 1.157200000e+07 8.658400000e+01 1.304000000e+17 1.260722000e-07 7.580990000e+11 1.986580000e+03 4.128740000e+04 4.811580000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645720000e-01 6.030470000e-02 8.225840000e-11 1.586950000e-10 2.409530000e-10 1.552270000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464700000e-01 3.363730000e-06
1.298140000e-03 1.157200000e+07 8.658300000e+01 1.304000000e+17 1.680963000e-07 6.887790000e+11 2.186500000e+03 4.128740000e+04 5.295810000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645710000e-01 6.211930000e-02 9.965150000e-11 1.980290000e-10 2.976800000e-10 1.725340000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464700000e-01 3.363730000e-06
1.398381000e-03 1.157100000e+07 8.658200000e+01 1.303900000e+17 2.101204000e-07 6.394060000e+11 2.355330000e+03 4.128740000e+04 5.704720000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645700000e-01 5.949970000e-02 1.156380000e-10 2.201010000e-10 3.357390000e-10 1.832320000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964600000e+00 2.255500000e+15 6.464690000e-01 3.363730000e-06
1.486004000e-03 1.157100000e+07 8.658100000e+01 1.303900000e+17 2.521445000e-07 6.017040000e+11 2.502910000e+03 4.128740000e+04 6.062150000e-02 1.004230000e+00 9.651050000e-01 3.970970000e-01 3.645690000e-01 6.029140000e-02 1.305860000e-10 2.518540000e-10 3.824400000e-10 1.955610000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964600000e+00 2.255500000e+15 6.464680000e-01 3.363730000e-06
1.635564000e-03 1.157100000e+07 8.658000000e+01 1.303900000e+17 3.361926000e-07 5.466840000e+11 2.754790000e+03 4.128740000e+04 6.672230000e-02 1.004230000e+00 9.651050000e-01 3.970970000e-01 3.645680000e-01 6.210060000e-02 1.582000000e-10 3.142530000e-10 4.724530000e-10 2.173600000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964600000e+00 2.255500000e+15 6.464670000e-01 3.363730000e-06
1.761862000e-03 1.157100000e+07 8.657900000e+01 1.303900000e+17 4.202408000e-07 5.074970000e+11 2.967490000e+03 4.128740000e+04 7.187400000e-02 1.004230000e+00 9.651050000e-01 3.970970000e-01 3.645660000e-01 5.947870000e-02 1.835810000e-10 3.492610000e-10 5.328410000e-10 2.308340000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964600000e+00 2.255500000e+15 6.464660000e-01 3.363730000e-06
1.872262000e-03 1.157100000e+07 8.657800000e+01 1.303800000e+17 5.042889000e-07 4.775730000e+11 3.153420000e+03 4.128740000e+04 7.637720000e-02 1.004230000e+00 9.651050000e-01 3.970970000e-01 3.645650000e-01 6.026660000e-02 2.073140000e-10 3.996230000e-10 6.069370000e-10 2.463610000e-05 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964600000e+00 2.255500000e+15 6.464650000e-01 3.363730000e-06
2.060699000e-03 1.157100000e+07 8.657600000e+01 1.303800000e+17 6.723852000e-07 4.339040000e+11 3.470750000e+03 4.128740000e+04 8.406330000e-02 1.004230000e+00 9.651050000e-01 3.970970000e-01 3.645630000e-01 6.206840000e-02 2.511590000e-10 4.985770000e-10 7.497350000e-10 2.738130000e-05 1.005900000e+05 3.163200000e+08 1.666500000e+00 1.964700000e+00 2.255500000e+15 6.464630000e-01 3.363730000e-06
2.219830000e-03 1.157100000e+07 8.657400000e+01 1.303800000e+17 8.404815000e-07 4.028010000e+11 3.738730000e+03 4.128740000e+04 9.055370000e-02 1.004230000e+00 9.651050000e-01 3.970970000e-01 3.645610000e-01 5.944370000e-02 2.914600000e-10 5.540770000e-10 8.455370000e-10 2.907810000e-05 1.005900000e+05 3.163200000e+08 1.666500000e+00 1.964700000e+00 2.255400000e+15 6.464610000e-01 3.363730000e-06
2.358930000e-03 1.157100000e+07 8.657200000e+01 1.303700000e+17 1.008577800e-06 3.790510000e+11 3.972960000e+03 4.128740000e+04 9.622700000e-02 1.004230000e+00 9.651060000e-01 3.970970000e-01 3.645590000e-01 6.022570000e-02 3.291460000e-10 6.339140000e-10 9.630600000e-10 3.103320000e-05 1.005800000e+05 3.163200000e+08 1.666500000e+00 1.964700000e+00 2.255400000e+15 6.464590000e-01 3.363730000e-06
2.596356000e-03 1.157100000e+07 8.656900000e+01 1.303700000e+17 1.344770400e-06 3.443910000e+11 4.372750000e+03 4.128740000e+04 1.059100000e-01 1.004230000e+00 9.651060000e-01 3.970970000e-01 3.645550000e-01 6.279440000e-02 3.987710000e-10 8.006740000e-10 1.199440000e-09 3.463300000e-05 1.005800000e+05 3.163200000e+08 1.666500000e+00 1.964800000e+00 2.255400000e+15 6.464560000e-01 3.363730000e-06
2.822578000e-03 1.157000000e+07 8.656600000e+01 1.303600000e+17 1.727764200e-06 3.167920000e+11 4.753650000e+03 4.128740000e+04 1.151360000e-01 1.004230000e+00 9.651060000e-01 3.970970000e-01 3.645520000e-01 6.048640000e-02 4.713280000e-10 9.114720000e-10 1.382800000e-09 3.718600000e-05 1.005800000e+05 3.163200000e+08 1.666500000e+00 1.964800000e+00 2.255400000e+15 6.464530000e-01 3.363730000e-06
3.017404000e-03 1.157000000e+07 8.656200000e+01 1.303500000e+17 2.110758100e-06 2.963400000e+11 5.081670000e+03 4.128740000e+04 1.230800000e-01 1.004230000e+00 9.651070000e-01 3.970970000e-01 3.645480000e-01 6.113110000e-02 5.386830000e-10 1.052710000e-09 1.591400000e-09 3.989230000e-05 1.005800000e+05 3.163200000e+08 1.666500000e+00 1.964900000e+00 2.255300000e+15 6.464480000e-01 3.363730000e-06
